sku_id,dt,page_price,discount_price,is_promotion
231023,2024-08-01,16.9,16.9,0
293418,2024-08-01,60.0,60.0,0
1280273,2024-08-01,9.9,9.9,0
100011423920,2024-08-01,45.9,45.9,0
100030771718,2024-08-01,78.0,78.0,0
10025765269372,2024-08-01,65.0,65.0,0
10043211463452,2024-08-01,190.8,190.8,0
231035,2024-08-02,16.9,16.9,0
845323,2024-08-02,16.9,16.9,0
909718,2024-08-02,12.9,12.9,0
3895219,2024-08-02,80.9,80.9,0
100005873819,2024-08-02,75.0,75.0,0
100023527711,2024-08-02,59.7,59.7,0
100026719206,2024-08-02,29.9,29.9,0
100035494430,2024-08-02,74.9,74.9,0
1742027,2024-08-03,83.9,83.9,0
3334330,2024-08-03,24.9,24.9,0
7434016,2024-08-03,39.9,39.9,0
8307755,2024-08-03,57.9,57.9,0
100001202539,2024-08-03,34.9,34.9,0
100011881946,2024-08-03,31.5,31.5,0
879386,2024-08-01,12.9,12.9,0
100007147103,2024-08-01,82.0,82.0,0
100014256784,2024-08-01,54.9,54.9,0
100023527729,2024-08-03,45.8,45.8,0
100033331822,2024-08-03,30.9,30.9,0
3907301,2024-08-02,64.9,64.9,0
100005270502,2024-08-02,64.9,64.9,0
100007178233,2024-08-02,69.0,69.0,0
362424,2024-08-03,60.0,60.0,0
528625,2024-08-03,95.0,95.0,0
845321,2024-08-03,16.9,16.9,0
1032833,2024-08-03,24.9,24.9,0
4535404,2024-08-03,89.9,89.9,0
69306580356,2024-08-03,69.0,69.0,0
100048469601,2024-08-03,49.9,49.9,0
100024864852,2024-08-04,69.9,69.9,0
231035,2024-08-05,16.9,16.9,0
528619,2024-08-05,95.0,95.0,0
879386,2024-08-05,12.9,12.9,0
69306580356,2024-08-05,69.0,69.0,0
100035494430,2024-08-05,74.9,74.9,0
231035,2024-08-04,16.9,16.9,0
8421845,2024-08-04,36.0,36.0,0
10700890033,2024-08-04,47.76,47.76,0
100007310036,2024-08-04,79.9,79.9,0
100024851705,2024-08-04,44.9,44.9,0
100030771718,2024-08-04,78.0,78.0,0
231028,2024-08-06,23.9,23.9,0
2646498,2024-08-06,139.9,139.9,0
4486444,2024-08-05,80.9,80.9,0
8209936,2024-08-05,33.7,33.7,0
10700890033,2024-08-05,47.76,47.76,0
100025429956,2024-08-05,42.9,42.9,0
100005270502,2024-08-06,64.9,64.9,0
100011881946,2024-08-06,29.9,29.9,0
100026719206,2024-08-06,29.9,29.9,0
100037438244,2024-08-06,149.9,149.9,0
100041650013,2024-08-06,80.9,80.9,0
8755672,2024-08-07,60.0,60.0,0
66148160288,2024-08-07,77.88,77.88,0
100012797322,2024-08-07,139.0,139.0,0
100006043908,2024-08-06,112.3,112.3,0
8209916,2024-08-08,44.6,44.6,0
100023527729,2024-08-06,45.8,35.8,1
100035921331,2024-08-06,79.9,79.9,0
100018842722,2024-08-08,99.8,99.8,0
100030771718,2024-08-08,78.0,78.0,0
100030771720,2024-08-08,59.9,59.9,0
10056315631534,2024-08-08,83.88,83.88,0
